id,MBID,title,artist,key,scale,bpm,loudness,dynamic_complexity,spectral_centroid_mean,spectral_centroid_var
0,000eab34-1e23-4e20-a1bb-99de5f40c460,Marchin On,OneRepublic,G#,minor,122.937782288,0.878423631191,840835.6875,3.40686416626,790.501647949
1,001971cc-1d2e-476c-bb64-aa403ceb6dc2,The Riddle (radio edit),Prezioso feat. Marvin,A,major,128.046020508,0.897242128849,1237989.5,2.57785987854,1687.19091797
2,017830c1-d1cf-46f3-8801-aaaa0a930223,Nina,Ed Sheeran,F#,minor,91.916267395,0.893562555313,749562.9375,5.05145025253,1055.33203125
3,02707100-f346-4103-a1cd-ca8c57cdee22,Girl You Know It's True (N.Y.C. Subway remix),Milli Vanilli,G#,major,98.1000976562,0.948833346367,1699079.0,3.80052089691,2064.84472656
4,02be0a4e-d882-4c15-870a-6095497beadd,Stars,Simply Red,G,major,103.725646973,0.907149374485,413957.34375,3.73212099075,1017.28875732
5,0441f3b9-aba8-445d-b939-2905f78c4016,Sexi Flexi,Natalia Kukulska,C,major,111.957374573,0.953205704689,1804429.25,3.62968564034,1522.68127441
6,04c3022d-bb19-43cf-9b30-74c616b7f2bf,Stay,Maurice Williams and The Zodiacs,A#,minor,120.560958862,0.948511660099,249337.015625,3.78561758995,718.028320312
7,053e5760-d1a3-4852-b0eb-01f7599a24c5,My Love,Westlife,C,major,144.111679077,0.834108531475,787128.5,3.83684229851,1389.50866699
8,059a2012-0bcf-4ef3-b550-69448247d1da,Fireflies,Owl City,D#,major,89.9253311157,0.613147377968,1083136.25,6.38246536255,1505.54675293
9,06baaa26-dc21-4a5e-a1fc-c795126f9892,Holding Back the Years,Simply Red,G,major,172.265045166,0.699582278728,854630.75,4.5833234787,985.544494629
10,07a4f279-5499-4338-bec5-a00dca4b1037,One,Ed Sheeran,D,major,93.5826721191,0.505712091923,725236.75,6.74606990814,609.659484863
11,089d8dfd-3a88-4a0f-b2b8-57b8fe02bfae,Your Love (Feat. Jay Sean) (Remix),Nicki Minaj,A#,minor,94.9486312866,0.916275084019,715105.125,3.49890875816,1627.60168457
12,08f535c5-b651-4cc2-a8a8-349aa6060b16,Our Song,Taylor Swift,D,major,89.0131072998,0.897059738636,1127704.625,3.71915888786,1773.31213379
13,09296cd5-d11a-402e-8f32-29418fb1d86b,Bloodstream,Ed Sheeran,G#,minor,91.2208480835,0.443042069674,530025.125,5.23120832443,657.714416504
14,0b108cee-ae05-4c34-8bb3-1f386ed7ae44,Teardrops on My Guitar (pop version),Taylor Swift,A#,major,99.8624649048,0.93172544241,714939.875,2.92370820045,1763.10888672
15,0bc0ebeb-ff98-4be1-a2c5-4b47893e9ffa,Forever & Always,Taylor Swift,A#,major,128.081375122,0.932367503643,971603.6875,2.8361992836,1525.84472656
16,0be34240-e441-4bce-ab72-b64429cceef0,This Is How It Goes,Haley,A,major,125.923072815,0.939066588879,601226.4375,3.31086540222,1873.0769043
17,0c7ba2aa-502e-4f30-8d64-73d32b833124,Siłacz,Marcin Rozynek,A,minor,112.985725403,0.82400739193,1334319.25,3.82596540451,1421.25170898
18,0e5f1add-c943-49a0-b824-169e7f7b82da,Girls Just Want to Have Fun,Cyndi Lauper,F#,major,120.555671692,0.773281633854,618861.9375,5.56364393234,1849.45812988
19,0eddc76c-f280-4c6e-a5ab-571030415ce4,Dwa serduszka,Urszula Dudziak,D,minor,151.828308105,0.0450470820069,224031.46875,9.16504859924,658.894897461
20,0f7cbdb5-b045-40ba-b0c1-5f09ca48212f,Między ciszą a ciszą,Grzegorz Turnau,D#,major,125.032363892,0.728703737259,1612331.25,3.65739917755,792.123962402
21,0fe37a01-fa29-4913-9d20-ee8ff02b8305,Say You Love Me,Simply Red,F,minor,88.0821304321,0.636270105839,673028.875,4.44870853424,908.343017578
22,113c7319-e4f8-4da6-8196-c69221da944a,Jak rzecz,Kasia Kowalska,C,major,128.630218506,0.589571475983,1290838.75,4.86020517349,1169.8894043
23,11732e78-463a-4a95-b867-b35a0d70cd5b,Chłopcy Radarowcy,Andrzej Rosiewicz,F,major,132.989944458,0.897030889988,628772.5,4.46393823624,1569.26464844
24,12f09a58-e376-4847-aabb-255ede6e46db,The City,Ed Sheeran,F,major,97.9389419556,0.936518549919,1270276.75,3.25930118561,1095.09655762
25,1451a50e-0eba-4bd9-8cdb-d48814564bf9,Jestem kobietą,Edyta Górniak,G,major,99.9834136963,0.914194643497,1246516.0,2.95280647278,1969.33703613
